countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
KOR,403.5718,399.0154,394.459,389.7244,384.9898,380.2552,375.5206,370.786,365.8666,360.9472,356.0278,351.1084,346.189,341.858,337.527,333.19599999999997,328.865,324.534,318.719,312.904,307.089,301.274,295.459,286.3726,277.2862,268.1998,259.1134,250.02700000000002,243.4776,236.9282,230.3788,223.8294,217.28,210.09,202.9,195.71,188.52,181.33,173.2032,165.0764,156.9496,148.8228,140.696,134.096,127.49600000000001,120.896,114.296,107.696,104.53,101.36399999999999,98.198,95.03200000000001,91.866,89.2706
LAO,481.469,477.51,473.55,469.635,465.719,461.80300000000005,457.88699999999994,453.971,450.149,446.327,442.505,438.684,434.86199999999997,431.56300000000005,428.264,424.965,421.666,418.36699999999996,415.087,411.80699999999996,408.527,405.24699999999996,401.967,396.329,390.69,385.051,379.413,373.774,368.63599999999997,363.49800000000005,358.36,353.222,348.084,342.00699999999995,335.93,329.853,323.776,317.699,311.278,304.857,298.436,292.015,285.594,279.159,272.724,266.289,259.85400000000004,253.419,248.075,242.732,237.388,232.045,226.701,222.05200000000002
MAC,238.588,233.98,229.373,225.136,220.9,216.66400000000002,212.42700000000002,208.19099999999997,204.30599999999998,200.422,196.537,192.65200000000002,188.767,185.21400000000003,181.66,178.106,174.55200000000002,170.998,167.75400000000002,164.51,161.265,158.02100000000002,154.776,151.82,148.863,145.907,142.95,139.994,137.304,134.614,131.925,129.235,126.545,124.101,121.65700000000001,119.214,116.77,114.32600000000001,112.109,109.891,107.67399999999999,105.456,103.23899999999999,101.229,99.219,97.209,95.199,93.189,90.493,87.79799999999999,85.103,82.40799999999999,79.712,77.476
MHL,353.574475,349.48404999999997,345.46131249999996,338.88236874999996,332.70058124999997,326.36479375,319.87260000000003,313.569625,310.17290625,306.9385,304.0045625,300.25759374999996,296.641875,295.32214999999997,293.4373625,291.47673124999994,289.593725,287.99075000000005,280.86412499999994,273.99559375,266.94709374999996,260.2743125,253.35646874999998,249.628725,245.63810625000002,242.18364375,238.37343125,234.74731250000002,231.54434999999998,228.20273125,224.97389375,221.5433375,218.61225000000002,216.02211875,213.3902375,211.27129375,208.76875625,206.38384374999998,202.9989625,199.78651875000003,302.0,192.6647875,189.34853125,186.54868125,183.3948,180.67335624999998,177.60697499999998,174.836625,172.2756875,167.11759375,162.19025,159.84159375000002,157.2874375,152.6511
MMR,500.005,492.582,485.159,471.972,458.785,445.598,432.411,419.224,414.08,408.935,403.791,398.647,393.50300000000004,388.68199999999996,383.86199999999997,379.042,374.222,369.402,364.791,360.181,355.57,350.96,346.349,341.92699999999996,337.505,333.082,328.66,324.238,320.001,315.765,311.528,307.291,303.055,299.116,295.176,291.237,287.298,283.35900000000004,279.36400000000003,275.368,271.373,267.377,263.382,260.38599999999997,257.39,254.394,251.398,248.40200000000002,245.322,242.24099999999999,239.16,236.08,232.99900000000002,231.202
MNG,332.033,326.078,320.124,314.485,308.845,303.20599999999996,297.567,291.928,287.36400000000003,282.801,278.238,273.67400000000004,269.111,268.425,267.74,267.05400000000003,266.368,265.683,264.89599999999996,264.10900000000004,263.322,262.535,261.748,257.47900000000004,253.21,248.94099999999997,244.672,240.403,255.486,270.568,285.651,300.73400000000004,315.817,317.03,318.244,319.457,320.671,321.884,324.319,326.754,329.19,331.625,334.06,333.159,332.25699999999995,331.356,330.455,329.55400000000003,324.51,319.465,314.421,309.377,304.332,301.98900000000003
MYS,286.657,280.704,274.752,271.506,268.26,265.014,261.767,258.52099999999996,255.44,252.359,249.27700000000002,246.196,243.115,240.19299999999998,237.27200000000002,234.351,231.43,228.50900000000001,225.74400000000003,222.97799999999998,220.213,217.447,214.68099999999998,212.06599999999997,209.451,206.835,204.22,201.604,199.13299999999998,196.662,194.19099999999997,191.72,189.24900000000002,186.917,184.585,182.253,179.921,177.588,175.389,173.19,170.99,168.791,166.592,167.128,167.665,168.202,168.738,169.275,169.80900000000003,170.34400000000002,170.87900000000002,171.41400000000002,171.94799999999998,169.332
NCL,328.0264,321.1732,314.32,308.1866,302.0532,295.9198,289.7864,283.653,278.1638,272.6746,267.1854,261.6962,256.207,251.3622,246.5174,241.6726,236.8278,231.983,227.6072,223.2314,218.8556,214.4798,210.104,206.06799999999998,202.032,197.99599999999998,193.96,189.924,186.172,182.42,178.668,174.916,171.16400000000002,167.7916,164.4192,161.0468,157.6744,154.30200000000002,151.2606,148.2192,145.1778,142.1364,139.095,136.4318,133.7686,131.1054,128.4422,125.779,123.0792,120.3794,117.6796,114.9798,112.28,109.6964
NZL,182.74,185.46599999999998,182.41099999999997,184.96599999999998,188.581,193.731,195.96400000000003,201.303,192.326,190.984,196.797,192.05700000000002,186.28,198.373,188.544,185.365,183.609,190.33599999999998,180.017,178.485,167.265,170.96200000000002,164.313,161.799,157.40200000000002,159.0,157.768,158.576,152.326,146.36700000000002,142.86700000000002,133.528,136.326,129.528,121.735,125.977,122.13,119.536,112.08,111.76899999999999,104.264,100.016,100.352,98.537,93.103,94.329,90.036,91.324,87.306,167.11759375,162.19025,159.84159375000002,157.2874375,152.6511
PHL,308.58299999999997,305.967,303.351,302.48400000000004,301.617,300.751,299.884,299.017,298.36400000000003,297.712,297.059,296.406,295.754,295.128,294.503,293.878,293.252,292.627,292.028,291.428,290.829,290.23,289.63,289.056,288.481,287.907,287.332,286.757,285.318,283.88,282.441,281.002,279.563,279.368,279.17400000000004,278.97900000000004,278.784,278.59,278.41,278.23,278.05,277.871,277.691,277.525,277.36,277.195,277.029,276.86400000000003,276.712,276.56,276.408,276.256,276.10400000000004,273.947
