countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NIC,231.533,222.459,213.385,208.699,204.012,199.326,194.639,189.952,187.892,185.831,183.77,181.709,179.649,178.764,177.87900000000002,176.99400000000003,176.109,175.22400000000002,169.662,164.101,158.54,152.97899999999998,147.417,144.832,142.247,139.662,137.077,134.49200000000002,133.821,133.15,132.47899999999998,131.808,131.137,130.54,129.94299999999998,129.347,128.75,128.154,127.631,127.10799999999999,126.586,126.06299999999999,125.54,125.008,124.476,123.944,123.412,122.87899999999999,122.066,121.25299999999999,120.44,119.62700000000001,118.814,116.471
BLZ,220.763,213.405,206.047,198.399,190.75099999999998,183.10299999999998,175.455,167.80700000000002,164.649,161.49200000000002,158.334,155.17700000000002,152.02,152.225,152.431,152.636,152.842,153.047,151.67700000000002,150.30700000000002,148.937,147.567,146.196,146.502,146.808,147.113,147.41899999999998,147.725,148.025,148.325,148.625,148.925,149.226,147.209,145.192,143.17600000000002,141.159,139.143,137.445,135.748,134.05,132.35299999999998,130.656,128.034,125.413,122.791,120.17,117.54899999999999,116.649,115.749,114.85,113.95,113.05,111.161
PRI,283.0580166666666,278.3022444444444,273.5463888888888,270.3616833333333,267.17714444444454,263.99252222222225,260.80784444444447,257.6231666666667,255.00628888888883,252.3894388888889,249.77267222222224,247.15579444444444,244.53894444444438,242.80429999999998,241.06965555555553,239.33492777777778,237.60033888888887,235.86555555555555,234.12908888888887,232.39259444444446,230.65615555555556,228.9196611111111,227.1831111111111,225.4022222222222,223.62130555555555,221.84044444444447,220.05963888888888,218.27861111111113,216.96374999999998,215.64894444444445,154.17685339798598,213.0191111111111,211.70433333333338,210.2835722222222,208.86281111111109,207.44210555555551,206.02131666666668,204.6006111111111,202.56811111111116,200.53577777777775,183.0,196.47094444444443,194.4386388888889,191.82090555555556,189.20320000000004,186.58541111111109,183.9678722222222,181.3501111111111,179.18232777777774,177.01446111111113,174.84684444444446,172.67903333333334,170.51122222222227,168.64167777777777
ATG,303.347,295.248,287.149,280.464,273.778,267.093,260.407,253.72099999999998,251.445,249.169,246.893,244.61599999999999,242.34,242.235,242.12900000000002,242.023,241.917,241.812,241.438,241.06400000000002,240.69,240.31599999999997,239.942,239.158,238.37400000000002,237.59099999999998,236.80700000000002,236.023,235.60299999999998,235.18400000000003,234.764,234.34400000000002,233.924,233.67700000000002,233.43099999999998,233.18400000000003,232.937,232.69,232.13299999999998,231.577,231.02,230.463,229.907,227.735,225.56400000000002,223.393,221.222,219.051,216.989,214.92700000000002,212.865,210.803,208.74099999999999,207.07299999999998
HND,296.714,288.06,279.405,276.968,274.531,272.094,269.657,267.22,264.745,262.27,259.796,257.32099999999997,254.84599999999998,251.458,248.071,244.683,241.295,237.907,234.422,230.937,227.453,223.968,220.483,217.785,215.08700000000002,212.389,209.692,206.99400000000003,206.128,205.262,204.39700000000002,203.53099999999998,202.665,203.044,203.423,203.80200000000002,204.18099999999998,204.56,203.364,202.169,200.97400000000002,199.778,198.583,195.34599999999998,192.109,188.87099999999998,185.63400000000001,182.39700000000002,179.733,177.06900000000002,174.40599999999998,171.74200000000002,169.078,166.44799999999998
GUY,279.314,277.893,276.471,275.135,273.79900000000004,272.46299999999997,271.127,269.79,268.535,267.279,266.024,264.768,263.512,262.325,261.137,259.949,258.762,257.574,256.448,255.322,254.196,253.071,251.945,250.88,249.815,248.75,247.685,246.62,245.60299999999998,244.58599999999998,243.56799999999998,242.551,241.53400000000002,240.567,239.6,238.63299999999998,237.666,236.69799999999998,233.83599999999998,230.97400000000002,228.112,225.25,222.388,219.483,216.578,213.673,210.769,207.864,204.139,200.415,196.69,192.96599999999998,189.24099999999999,187.595
KNA,404.376,398.37300000000005,392.369,387.145,381.92199999999997,376.69800000000004,371.474,366.25,360.99199999999996,355.735,350.477,345.22,339.962,340.124,340.285,340.44599999999997,340.60699999999997,340.76800000000003,340.87800000000004,340.98800000000006,341.097,341.207,341.316,338.30199999999996,335.288,332.273,329.259,326.245,323.31,320.376,317.442,314.507,311.573,307.7,303.827,299.954,296.08099999999996,292.20799999999997,286.093,279.978,273.863,267.748,261.633,259.684,257.736,255.787,253.838,251.89,249.763,247.636,245.50900000000001,243.382,241.255,238.851
MEX,316.53,314.425,312.32099999999997,310.33,308.34,306.35,304.36,302.37,301.779,301.188,300.597,300.007,299.416,299.41,299.404,299.39799999999997,299.392,299.38599999999997,299.38,299.375,299.369,299.363,299.357,300.809,302.26099999999997,303.71299999999997,305.165,306.616,306.084,305.552,305.02,304.488,303.95599999999996,301.191,298.425,295.66,292.895,290.13,287.47900000000004,284.828,282.177,279.526,276.875,274.336,271.797,269.257,266.718,264.178,261.748,259.317,256.887,254.456,252.025,250.949
VIR,409.551,402.18699999999995,394.82199999999995,388.99199999999996,383.162,377.332,371.50199999999995,365.67199999999997,360.05,354.42900000000003,348.80800000000005,343.18699999999995,337.566,332.30300000000005,327.041,321.779,316.51599999999996,311.254,304.857,298.461,292.064,285.668,279.272,272.742,266.21299999999997,259.683,253.15400000000002,246.62400000000002,242.80599999999998,238.988,235.17,231.352,227.533,223.298,219.063,214.827,210.592,206.357,204.072,201.78799999999998,199.50400000000002,197.22,194.935,193.111,191.28599999999997,189.46099999999998,187.637,185.812,184.05200000000002,182.292,180.532,178.77200000000002,177.012,175.57299999999998
PER,438.434,434.965,431.49699999999996,428.189,424.881,421.574,418.26599999999996,414.958,412.191,409.425,406.658,403.892,401.125,396.624,392.12300000000005,387.62199999999996,383.121,378.619,376.074,373.529,370.985,368.44,365.895,364.08099999999996,362.26800000000003,360.454,358.64099999999996,356.82800000000003,355.159,353.49,351.82099999999997,350.152,348.483,347.03,345.57800000000003,344.126,342.673,341.221,340.027,338.834,337.64,336.44599999999997,335.25300000000004,329.852,324.45099999999996,319.04900000000004,313.64799999999997,308.247,303.291,298.334,293.377,288.42,283.46299999999997,279.999
